Tarih,Yeni_Kullanici_Sayisi
2026-11-08,3015
2026-11-09,2506
2026-11-10,2526
2026-11-11,2848
2026-11-12,2699
2026-11-13,2685
2026-11-14,3184
2026-11-15,2628
2026-11-16,2799
2026-11-17,2631
2026-11-18,2680
2026-11-19,2938
2026-11-20,2741
2026-11-21,2904
2026-11-22,3017
2026-11-23,2587
2026-11-24,2499
2026-11-25,2465
2026-11-26,2288
2026-11-27,3099
2026-11-28,2625
2026-11-29,2809
2026-11-30,2655
2026-12-01,2779
2026-12-02,2888
2026-12-03,2905
2026-12-04,2624
2026-12-05,2864
2026-12-06,2962
2026-12-07,2714
2026-12-08,3093
2026-12-09,2877
2026-12-10,2934
2026-12-11,2927
2026-12-12,3188
2026-12-13,2997
2026-12-14,2560
2026-12-15,2907
2026-12-16,2705
2026-12-17,2738
2026-12-18,2969
2026-12-19,3257
2026-12-20,3022
2026-12-21,2938
2026-12-22,3225
2026-12-23,2941
2026-12-24,3421
2026-12-25,3022
2026-12-26,2716
2026-12-27,3227
2026-12-28,3011
2026-12-29,3201
2026-12-30,3086
2026-12-31,2932
2027-01-01,2723
2027-01-02,3084
2027-01-03,2964
2027-01-04,2877
2027-01-05,3119
2027-01-06,3344
2027-01-07,3097
2027-01-08,2787
2027-01-09,3273
2027-01-10,3432
2027-01-11,2929
2027-01-12,3032
2027-01-13,3070
2027-01-14,2919
2027-01-15,3213
2027-01-16,3218
2027-01-17,3334
2027-01-18,2931
2027-01-19,3029
2027-01-20,3269
2027-01-21,3057
2027-01-22,3485
2027-01-23,3218
2027-01-24,3351
2027-01-25,3350
2027-01-26,2887
2027-01-27,2827
2027-01-28,2881
2027-01-29,3446
2027-01-30,3241
2027-01-31,3870
2027-02-01,3103
2027-02-02,3260
2027-02-03,3539
2027-02-04,3639
2027-02-05,3657
2027-02-06,3644
2027-02-07,3614
2027-02-08,3385
2027-02-09,3429
2027-02-10,3169
2027-02-11,3123
2027-02-12,3292
2027-02-13,3415
2027-02-14,3365
2027-02-15,3451
2027-02-16,3510
2027-02-17,3342
2027-02-18,3626
2027-02-19,3108
2027-02-20,3454
2027-02-21,3355
2027-02-22,2981
2027-02-23,3343
2027-02-24,3341
2027-02-25,3674
2027-02-26,3502
2027-02-27,3327
2027-02-28,3908
2027-03-01,3636
2027-03-02,3513
2027-03-03,3356
2027-03-04,3214
2027-03-05,3337
2027-03-06,3783
2027-03-07,3947
2027-03-08,3733
2027-03-09,3331
2027-03-10,3209
2027-03-11,3465
2027-03-12,3087
2027-03-13,3659
2027-03-14,3568
2027-03-15,3358
2027-03-16,3136
2027-03-17,3561
2027-03-18,3355
2027-03-19,3231
2027-03-20,3043
2027-03-21,3615
2027-03-22,3828
2027-03-23,3808
2027-03-24,3387
2027-03-25,3360
2027-03-26,3577
2027-03-27,3435
2027-03-28,3698
2027-03-29,3642
2027-03-30,3736
2027-03-31,3473
2027-04-01,3453
2027-04-02,3320
2027-04-03,3482
2027-04-04,3603
2027-04-05,3573
2027-04-06,3683
2027-04-07,3340
2027-04-08,3800
2027-04-09,3448
2027-04-10,3649
2027-04-11,3504
2027-04-12,3019
2027-04-13,3681
2027-04-14,3651
2027-04-15,3447
2027-04-16,3517
2027-04-17,3756
2027-04-18,3340
2027-04-19,3396
2027-04-20,3660
2027-04-21,3250
2027-04-22,3559
2027-04-23,3228
2027-04-24,3741
2027-04-25,3640
2027-04-26,3172
2027-04-27,3727
2027-04-28,3345
2027-04-29,3329
2027-04-30,3529
2027-05-01,3867
2027-05-02,3432
2027-05-03,3496
2027-05-04,3567
2027-05-05,3617
2027-05-06,3512
2027-05-07,3401
2027-05-08,3456
2027-05-09,3636
2027-05-10,3252
2027-05-11,2879
2027-05-12,3548
2027-05-13,3638
2027-05-14,2982
2027-05-15,3399
2027-05-16,3722
2027-05-17,3856
2027-05-18,3445
2027-05-19,3292
2027-05-20,3397
2027-05-21,3705
2027-05-22,3447
2027-05-23,3413
2027-05-24,3322
2027-05-25,3224
2027-05-26,3435
2027-05-27,3731
2027-05-28,3467
2027-05-29,3498
2027-05-30,3485
2027-05-31,3077
2027-06-01,3561
2027-06-02,3365
2027-06-03,3340
2027-06-04,4010
2027-06-05,3576
2027-06-06,3361
2027-06-07,3272
2027-06-08,3582
2027-06-09,3370
2027-06-10,3055
2027-06-11,3521
2027-06-12,3349
2027-06-13,3852
2027-06-14,3538
2027-06-15,3228
2027-06-16,3568
2027-06-17,3320
2027-06-18,3472
2027-06-19,3543
2027-06-20,3272
2027-06-21,3157
2027-06-22,3487
2027-06-23,3208
2027-06-24,3189
2027-06-25,3074
2027-06-26,3494
2027-06-27,3816
2027-06-28,3035
2027-06-29,3248
2027-06-30,3520
2027-07-01,3216
2027-07-02,3317
2027-07-03,3159
2027-07-04,3452
2027-07-05,3173
2027-07-06,3402
2027-07-07,3437
2027-07-08,3712
2027-07-09,3305
2027-07-10,3399
2027-07-11,3367
2027-07-12,3102
2027-07-13,3236
2027-07-14,3104
2027-07-15,3191
2027-07-16,3416
2027-07-17,3096
2027-07-18,3520
2027-07-19,3400
2027-07-20,3108
2027-07-21,2702
2027-07-22,3000
2027-07-23,3376
2027-07-24,3257
2027-07-25,3057
2027-07-26,3001
2027-07-27,3265
2027-07-28,3202
2027-07-29,3040
2027-07-30,3010
2027-07-31,3150
2027-08-01,3040
2027-08-02,3393
2027-08-03,3001
2027-08-04,3304
2027-08-05,3361
2027-08-06,3252
2027-08-07,3112
2027-08-08,3275
2027-08-09,3036
2027-08-10,2856
2027-08-11,3097
2027-08-12,2793
2027-08-13,3263
2027-08-14,3079
2027-08-15,3208
2027-08-16,3071
2027-08-17,2959
2027-08-18,3125
2027-08-19,2910
2027-08-20,3176
2027-08-21,2879
2027-08-22,3171
2027-08-23,3381
2027-08-24,2790
2027-08-25,2852
2027-08-26,3088
2027-08-27,3018
2027-08-28,3200
2027-08-29,3226
2027-08-30,3103
2027-08-31,3196
2027-09-01,3054
2027-09-02,2922
2027-09-03,3103
2027-09-04,3497
2027-09-05,3089
2027-09-06,2769
2027-09-07,3184
2027-09-08,2937
2027-09-09,2525
2027-09-10,3129
2027-09-11,3001
2027-09-12,3089
2027-09-13,3023
2027-09-14,2994
2027-09-15,3098
2027-09-16,2868
2027-09-17,3058
2027-09-18,3053
2027-09-19,3253
2027-09-20,3078
2027-09-21,2769
2027-09-22,3173
2027-09-23,2849
2027-09-24,3119
2027-09-25,3181
2027-09-26,3476
2027-09-27,2915
2027-09-28,2891
2027-09-29,2958
2027-09-30,2903
2027-10-01,3125
2027-10-02,2793
2027-10-03,2907
2027-10-04,2756
2027-10-05,3162
2027-10-06,3316
2027-10-07,2955
2027-10-08,2945
2027-10-09,3145
2027-10-10,3366
2027-10-11,2800
2027-10-12,3036
2027-10-13,3187
2027-10-14,3095
2027-10-15,3035
2027-10-16,3351
2027-10-17,2613
2027-10-18,3143
2027-10-19,2880
2027-10-20,2649
2027-10-21,3121
2027-10-22,3297
2027-10-23,3149
2027-10-24,3371
2027-10-25,3357
2027-10-26,3302
2027-10-27,3371
2027-10-28,3196
2027-10-29,3068
2027-10-30,2887
2027-10-31,3163
2027-11-01,2899
2027-11-02,3506
2027-11-03,3042
2027-11-04,3107
2027-11-05,3198
2027-11-06,3252
2027-11-07,3588
2027-11-08,2980
2027-11-09,3149
2027-11-10,2968
2027-11-11,2858
2027-11-12,3006
2027-11-13,3277
2027-11-14,3205
2027-11-15,3008
2027-11-16,2872
2027-11-17,3143
2027-11-18,2865
2027-11-19,3325
2027-11-20,3346
2027-11-21,3045
2027-11-22,3131
2027-11-23,3049
2027-11-24,3271
2027-11-25,3482
2027-11-26,2846
2027-11-27,3401
2027-11-28,3353
2027-11-29,3377
2027-11-30,3293
2027-12-01,3107
2027-12-02,3201
2027-12-03,3113
2027-12-04,3645
2027-12-05,3442
2027-12-06,3676
2027-12-07,3291
2027-12-08,3170
2027-12-09,3016
2027-12-10,2966
2027-12-11,3168
2027-12-12,3546
2027-12-13,3453
2027-12-14,3043
2027-12-15,3546
2027-12-16,3279
2027-12-17,3413
2027-12-18,3864
2027-12-19,3729
2027-12-20,3354
2027-12-21,3238
2027-12-22,2994
2027-12-23,3289
2027-12-24,3399
2027-12-25,3402
2027-12-26,3581
2027-12-27,3481
2027-12-28,3429
2027-12-29,3353
2027-12-30,3525
2027-12-31,3588
